"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Okul Mevisto","375389182",3866500,680000,-3186500,-82.4
"Kxbi39","963545236",3608500,2205000,-1403500,-38.9
"BΛ 18th Qu1nO","311184143",3574000,1825000,-1749000,-48.9
"bL4De","457291367",2314000,1895000,-419000,-18.1
"Tobiwan","215178647",2298500,581250,-1717250,-74.7
"Nudo der Rächer","553153872",2290500,858750,-1431750,-62.5
"DD44ddyy","569924112",2272500,2040000,-232500,-10.2
"Zak McKracken","583975841",2194500,1132500,-1062000,-48.4
"Stefan80","853644323",1999000,410000,-1589000,-79.5
"Kyle Katarn","857467862",1991500,991250,-1000250,-50.2
"BΛ 18th Domme53","293754352",1870000,1215000,-655000,-35
"Micha","441471428",1800500,1660000,-140500,-7.8
"Rene","652417452",1758500,462500,-1296000,-73.7
"Halodri","423968927",1683000,1078750,-604250,-35.9
"BΛ 18th Failix93","531337631",1663000,1950000,287000,17.3
"YPSOLON","912458532",1530500,715000,-815500,-53.3
"Sasa","496742742",1457000,735000,-722000,-49.6
"Radhad","726188947",1311500,1740000,428500,32.7
"Gabel","973795682",1294500,0,,
"Evilfraggle","527696828",1279500,600000,-679500,-53.1
"Pelzdavi","412292457",1258000,442500,-815500,-64.8
"Bad Batch","681176546",1247500,582500,-665000,-53.3
"Rendo","529589453",1149500,972500,-177000,-15.4
"Ethan Calypso","834324965",1142000,1167500,25500,2.2
"Pekaju81","657872812",1120500,295000,-825500,-73.7
"BΛ 18th  Kalyssia","321723488",1074500,0,-1074500,-100
"Amgcobra","529132897",1074000,130000,-944000,-87.9
"Maxima","272612712",1039000,282500,-756500,-72.8
"Aaron","894684436",1005000,367500,-637500,-63.4
"olliw30","785375887",992500,1130000,137500,13.9
"Cyria","562612771",987500,922500,-65000,-6.6
"Imperatorin Skylar ツ","529359665",981500,425000,-556500,-56.7
"Eselinho","673687898",942500,267500,-675000,-71.6
"n0am","736436766",883500,760000,-123500,-14
"Giga","731918197",836500,930000,93500,11.2
"Meister DuKa","737898978",770500,405000,-365500,-47.4
"Korgas","765528436",724500,750000,25500,3.5
"BΛ Anexiety","486818281",720000,255000,-465000,-64.6
"Cyno Lanri","856891947",682500,475000,-207500,-30.4
"Nikotin2803","225819189",584000,490000,-94000,-16.1
"Wyrdn","928416533",547000,300000,-247000,-45.2
"Battlemurmel","215789357",412000,5000,-407000,-98.8
"hartholzheftig","829453731",388500,495000,106500,27.4
"Xyvee","666924181",359000,0,,
"Acaizuku","449847638",335000,450000,115000,34.3
"Murc de Burgh","779865135",269000,265000,-4000,-1.5
"Lavesuma","444867952",149500,95000,-54500,-36.5
"Meister Kek","816352927",142000,0,-142000,-100
"Mugami Chinzano","663193878",71500,0,-71500,-100
"Falen Lacer","996731294",70500,0,-70500,-100
