"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"ARC5555","928882641",9344000,9600000,256000,2.7
"AZRΛEL","325454915",3811000,2385000,-1426000,-37.4
"Berto","719754858",5530500,5700000,169500,3.1
"BillyCoenCS","782748956",2780000,2235000,-545000,-19.6
"bizonkata","242337786",2598000,1920000,-678000,-26.1
"Breuchen","517819446",9669500,7935000,-1734500,-17.9
"BΛ ElTimme","869365185",1864000,570000,-1294000,-69.4
"CeeK4y","434842414",4721500,4845000,123500,2.6
"Darman RC22","195783379",11302500,10200000,-1102500,-9.8
"deathshot","653622119",2888500,2100000,-788500,-27.3
"DonGavon VonMothma","283839472",2512000,1165000,-1347000,-53.6
"DribbelD","442864126",1799000,1670000,-129000,-7.2
"Duckado","992822478",11380000,8930000,-2450000,-21.5
"FirstClaas","881775995",1986500,1510000,-476500,-24
"Fossi PøtG","922391954",3824000,2870000,-954000,-24.9
"FraHu","645657654",2182500,3000000,817500,37.5
"gazzo","553723455",2320000,2085000,-235000,-10.1
"Gonzo","839923255",4171500,4410000,238500,5.7
"Gremlin","447344923",2300500,882500,-1418000,-61.6
"Hippikilla","426986133",4676000,2915000,-1761000,-37.7
"Imperator Luna ツ","917814484",5112500,2677500,-2435000,-47.6
"Kaytee Glopio","435978285",1604500,885000,-719500,-44.8
"Kopfgeldjäger Orlando","855444999",3802000,3030000,-772000,-20.3
"Mad Mike","537881411",4076500,4590000,513500,12.6
"Maddin Papa der Nacht","397984459",1954000,3200000,1246000,63.8
"McBluti","289447573",9540500,7545000,-1995500,-20.9
"MINI Raph","483833154",3456500,3900000,443500,12.8
"Nema Ghyron","882283397",1109500,300000,-809500,-73
"Oberon Calad","828255534",3797500,2595000,-1202500,-31.7
"OnkelBoe","897638799",4951500,4112500,-839000,-16.9
"Optimus Prime","424139695",3725000,2625000,-1100000,-29.5
"Ordo Skirata","695593321",3610500,3300000,-310500,-8.6
"Paddle","768392149",5036000,0,,
"Racer","961793165",2577500,3465000,887500,34.4
"reniarku","216769754",2110500,3900000,1789500,84.8
"Sahu","596923326",4488000,4800000,312000,7
"Scargo","671154332",5477500,1128750,-4348750,-79.4
"Skettman","923923221",5527000,2995000,-2532000,-45.8
"Spacekenny","758475213",4925000,4087500,-837500,-17
"thenawi","218714477",2238500,1472500,-766000,-34.2
"Tobi WanKenobi","964836267",2515500,3000000,484500,19.3
"TuMirNix","356282657",2086500,1447500,-639000,-30.6
"Tylr","528339514",7450500,6705000,-745500,-10
"Vaexqua","447681823",2482000,2062500,-419500,-16.9
"Valcorp","359628635",4907500,3300000,-1607500,-32.8
"VDL Doni030","918226438",3741000,2025000,-1716000,-45.9
"W0Ʀ ObiWanX88X","595758484",2192000,1590000,-602000,-27.5
"windalf","986173352",2759500,300000,-2459500,-89.1
"WΞP Timomagbier","636222417",4159500,2770000,-1389500,-33.4
"Xelogon","998926812",9016000,6420000,-2596000,-28.8
