"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Radhad","726188947",1497000,1800000,303000,20.2
"BΛ 18th Failix93","531337631",3000500,3450000,449500,15
"Cyria","562612771",1001000,985000,-16000,-1.6
"bL4De","457291367",2575000,2330000,-245000,-9.5
"Micha","441471428",2123000,1775000,-348000,-16.4
"Nikotin2803","225819189",964500,795000,-169500,-17.6
"olliw30","785375887",1279000,1050000,-229000,-17.9
"BΛ 18th Domme53","293754352",2205500,1800000,-405500,-18.4
"Wyrdn","928416533",745500,600000,-145500,-19.5
"BΛ Anexiety","486818281",722000,580000,-142000,-19.7
"Giga","731918197",1051000,810000,-241000,-22.9
"Rendo","529589453",1602500,1200000,-402500,-25.1
"Korgas","765528436",1299500,970000,-329500,-25.4
"hartholzheftig","829453731",810500,600000,-210500,-26
"n0am","736436766",1960500,1280000,-680500,-34.7
"DD44ddyy","569924112",2329500,1500000,-829500,-35.6
"Sasa","496742742",1604500,1030000,-574500,-35.8
"Nudo der Rächer","553153872",2854000,1797500,-1056500,-37
"Pelzdavi","412292457",1213500,750000,-463500,-38.2
"Murc de Burgh","779865135",492000,300000,-192000,-39
"YPSOLON","912458532",1843000,1047500,-795500,-43.2
"Kxbi39","963545236",4688000,2625000,-2063000,-44
"Ethan Calypso","834324965",1889500,1050000,-839500,-44.4
"Evilfraggle","527696828",1588500,870000,-718500,-45.2
"Tobiwan","215178647",2465500,1252500,-1213000,-49.2
"Cyno Lanri","856891947",954500,475000,-479500,-50.2
"BΛ 18th Qu1nO","311184143",4517500,2180000,-2337500,-51.7
"Kyle Katarn","857467862",2660500,1285000,-1375500,-51.7
"Amgcobra","529132897",1183500,560000,-623500,-52.7
"Rene","652417452",2463000,1085000,-1378000,-55.9
"Zak McKracken","583975841",4068000,1605000,-2463000,-60.5
"Stefan80","853644323",2117000,805000,-1312000,-62
"Pekaju81","657872812",1100000,402500,-697500,-63.4
"Halodri","423968927",2230500,786250,-1444250,-64.8
"Bad Batch","681176546",1353500,407500,-946000,-69.9
"Maxima","272612712",2057500,555000,-1502500,-73
"Eselinho","673687898",1128000,300000,-828000,-73.4
"YanHolo","791277669",892500,225000,-667500,-74.8
"Aaron","894684436",1271000,260000,-1011000,-79.5
"Okul Mevisto","375389182",4085000,340000,-3745000,-91.7
"Meister DuKa","737898978",915500,25000,-890500,-97.3
"Battlemurmel","215789357",911000,5000,-906000,-99.5
"Acaizuku","449847638",558000,0,-558000,-100
"BΛ 18th  Kalyssia","321723488",1103000,0,-1103000,-100
"Falen Lacer","996731294",305000,0,-305000,-100
"Gabel","973795682",1229500,0,-1229500,-100
"Lavesuma","444867952",317500,0,-317500,-100
"Meister Kek","816352927",307000,0,-307000,-100
"Mugami Chinzano","663193878",309000,0,-309000,-100
"Xyvee","666924181",785000,0,-785000,-100
